TIME		IP.ADDR		NAME			BATTERY STATUS
15:45:23	127.0.0.1	krzysztof-hp		73
15:45:33	127.0.0.1	krzysztof-hp		72
15:45:43	127.0.0.1	krzysztof-hp		72
15:45:53	127.0.0.1	krzysztof-hp		72
15:46:05	127.0.0.1	krzysztof-hp		72
15:46:15	127.0.0.1	krzysztof-hp		72
15:46:25	127.0.0.1	krzysztof-hp		72
15:46:35	127.0.0.1	krzysztof-hp		72
15:46:51	127.0.0.1	krzysztof-hp		71
15:47:01	127.0.0.1	krzysztof-hp		71
15:47:11	127.0.0.1	krzysztof-hp		71
15:47:21	127.0.0.1	krzysztof-hp		71
15:47:31	127.0.0.1	krzysztof-hp		71
15:47:41	127.0.0.1	krzysztof-hp		71
15:47:51	127.0.0.1	krzysztof-hp		70
15:48:01	127.0.0.1	krzysztof-hp		70
15:48:11	127.0.0.1	krzysztof-hp		70
15:48:21	127.0.0.1	krzysztof-hp		70
15:48:31	127.0.0.1	krzysztof-hp		70
15:48:41	127.0.0.1	krzysztof-hp		70
15:48:51	127.0.0.1	krzysztof-hp		69
15:52:59	127.0.0.1	krzysztof-hp		67
15:53:09	127.0.0.1	krzysztof-hp		67
15:53:19	127.0.0.1	krzysztof-hp		66
15:53:29	127.0.0.1	krzysztof-hp		66
15:53:39	127.0.0.1	krzysztof-hp		66
15:53:49	127.0.0.1	krzysztof-hp		66
16:23:29	127.0.0.1	krzysztof-hp		54
16:23:39	127.0.0.1	krzysztof-hp		54
16:23:49	127.0.0.1	krzysztof-hp		54
16:23:49	192.168.43.182	adrian-ThinkPad-E570	90
16:23:59	127.0.0.1	krzysztof-hp		54
16:23:59	192.168.43.182	adrian-ThinkPad-E570	90
16:24:09	127.0.0.1	krzysztof-hp		53
16:24:09	192.168.43.182	adrian-ThinkPad-E570	90
16:24:19	127.0.0.1	krzysztof-hp		53
16:24:19	192.168.43.182	adrian-ThinkPad-E570	90
16:24:29	192.168.43.182	adrian-ThinkPad-E570	90
16:24:29	127.0.0.1	krzysztof-hp		53
16:24:39	127.0.0.1	krzysztof-hp		53
16:24:39	192.168.43.182	adrian-ThinkPad-E570	90
16:24:49	127.0.0.1	krzysztof-hp		53
16:24:49	192.168.43.182	adrian-ThinkPad-E570	90
16:24:59	127.0.0.1	krzysztof-hp		53
16:24:59	192.168.43.182	adrian-ThinkPad-E570	90
16:25:09	127.0.0.1	krzysztof-hp		53
16:25:09	192.168.43.182	adrian-ThinkPad-E570	90
16:25:19	127.0.0.1	krzysztof-hp		53
16:25:19	192.168.43.182	adrian-ThinkPad-E570	90
16:25:29	192.168.43.182	adrian-ThinkPad-E570	90
16:25:29	127.0.0.1	krzysztof-hp		53
16:25:39	127.0.0.1	krzysztof-hp		53
16:25:39	192.168.43.182	adrian-ThinkPad-E570	90
16:25:49	127.0.0.1	krzysztof-hp		52
16:25:49	192.168.43.182	adrian-ThinkPad-E570	89
16:25:59	127.0.0.1	krzysztof-hp		52
16:25:59	192.168.43.182	adrian-ThinkPad-E570	89
16:26:09	127.0.0.1	krzysztof-hp		52
16:26:09	192.168.43.182	adrian-ThinkPad-E570	89
16:26:19	192.168.43.182	adrian-ThinkPad-E570	89
16:26:19	127.0.0.1	krzysztof-hp		52
16:26:29	127.0.0.1	krzysztof-hp		52
16:26:29	192.168.43.182	adrian-ThinkPad-E570	89
16:26:39	127.0.0.1	krzysztof-hp		51
16:26:39	192.168.43.182	adrian-ThinkPad-E570	89
16:26:49	127.0.0.1	krzysztof-hp		51
16:26:49	192.168.43.182	adrian-ThinkPad-E570	89
16:26:59	127.0.0.1	krzysztof-hp		51
16:26:59	192.168.43.182	adrian-ThinkPad-E570	89
16:27:09	192.168.43.182	adrian-ThinkPad-E570	89
16:27:09	127.0.0.1	krzysztof-hp		51
16:27:19	127.0.0.1	krzysztof-hp		51
16:27:19	192.168.43.182	adrian-ThinkPad-E570	89
16:27:29	127.0.0.1	krzysztof-hp		51
16:27:29	192.168.43.182	adrian-ThinkPad-E570	89
16:27:39	127.0.0.1	krzysztof-hp		50
16:27:39	192.168.43.182	adrian-ThinkPad-E570	89
16:27:49	127.0.0.1	krzysztof-hp		50
16:27:49	192.168.43.182	adrian-ThinkPad-E570	88
16:27:59	192.168.43.182	adrian-ThinkPad-E570	88
16:27:59	127.0.0.1	krzysztof-hp		50
16:28:09	192.168.43.182	adrian-ThinkPad-E570	88
16:28:09	127.0.0.1	krzysztof-hp		50
16:28:19	127.0.0.1	krzysztof-hp		50
16:28:19	192.168.43.182	adrian-ThinkPad-E570	88
16:28:29	127.0.0.1	krzysztof-hp		49
16:28:29	192.168.43.182	adrian-ThinkPad-E570	88
16:28:39	127.0.0.1	krzysztof-hp		49
16:28:39	192.168.43.182	adrian-ThinkPad-E570	88
16:28:49	127.0.0.1	krzysztof-hp		49
16:28:49	192.168.43.182	adrian-ThinkPad-E570	88
16:28:59	127.0.0.1	krzysztof-hp		49
16:28:59	192.168.43.182	adrian-ThinkPad-E570	88
16:29:09	127.0.0.1	krzysztof-hp		49
16:29:09	192.168.43.182	adrian-ThinkPad-E570	88
16:29:19	127.0.0.1	krzysztof-hp		48
16:29:19	192.168.43.182	adrian-ThinkPad-E570	88
16:29:29	127.0.0.1	krzysztof-hp		48
16:29:29	192.168.43.182	adrian-ThinkPad-E570	88
16:29:39	127.0.0.1	krzysztof-hp		48
16:29:39	192.168.43.182	adrian-ThinkPad-E570	88
16:29:49	192.168.43.182	adrian-ThinkPad-E570	88
16:29:49	127.0.0.1	krzysztof-hp		48
16:29:59	127.0.0.1	krzysztof-hp		48
16:29:59	192.168.43.182	adrian-ThinkPad-E570	87
16:30:09	127.0.0.1	krzysztof-hp		48
16:30:09	192.168.43.182	adrian-ThinkPad-E570	87
16:30:19	127.0.0.1	krzysztof-hp		47
16:30:19	192.168.43.182	adrian-ThinkPad-E570	87
16:30:29	127.0.0.1	krzysztof-hp		47
16:30:29	192.168.43.182	adrian-ThinkPad-E570	87
16:30:39	127.0.0.1	krzysztof-hp		47
16:30:39	192.168.43.182	adrian-ThinkPad-E570	87
16:30:49	127.0.0.1	krzysztof-hp		47
16:30:49	192.168.43.182	adrian-ThinkPad-E570	87
16:30:59	127.0.0.1	krzysztof-hp		47
16:30:59	192.168.43.182	adrian-ThinkPad-E570	87
16:31:09	192.168.43.182	adrian-ThinkPad-E570	87
16:31:09	127.0.0.1	krzysztof-hp		46
16:31:19	127.0.0.1	krzysztof-hp		46
16:31:19	192.168.43.182	adrian-ThinkPad-E570	87
16:31:29	127.0.0.1	krzysztof-hp		46
16:31:29	192.168.43.182	adrian-ThinkPad-E570	87
16:31:39	127.0.0.1	krzysztof-hp		46
16:31:39	192.168.43.182	adrian-ThinkPad-E570	87
16:31:49	127.0.0.1	krzysztof-hp		46
16:31:49	192.168.43.182	adrian-ThinkPad-E570	86
16:31:59	127.0.0.1	krzysztof-hp		46
16:31:59	192.168.43.182	adrian-ThinkPad-E570	86
16:32:09	127.0.0.1	krzysztof-hp		46
16:32:09	192.168.43.182	adrian-ThinkPad-E570	86
16:32:19	127.0.0.1	krzysztof-hp		46
16:32:19	192.168.43.182	adrian-ThinkPad-E570	86
16:32:29	127.0.0.1	krzysztof-hp		46
16:32:39	127.0.0.1	krzysztof-hp		46
16:32:49	127.0.0.1	krzysztof-hp		46
16:32:59	127.0.0.1	krzysztof-hp		45
16:33:09	127.0.0.1	krzysztof-hp		45
17:46:38	127.0.0.1	krzysztof-hp		52
17:46:48	127.0.0.1	krzysztof-hp		53
17:46:58	127.0.0.1	krzysztof-hp		53
17:47:08	127.0.0.1	krzysztof-hp		53
17:47:18	127.0.0.1	krzysztof-hp		53
17:47:28	127.0.0.1	krzysztof-hp		53
17:47:38	127.0.0.1	krzysztof-hp		53
17:47:48	127.0.0.1	krzysztof-hp		53
17:47:58	127.0.0.1	krzysztof-hp		53
17:48:08	127.0.0.1	krzysztof-hp		53
17:48:18	127.0.0.1	krzysztof-hp		54
17:48:28	127.0.0.1	krzysztof-hp		54
17:48:38	127.0.0.1	krzysztof-hp		54
17:48:48	127.0.0.1	krzysztof-hp		54
17:48:58	127.0.0.1	krzysztof-hp		55
17:49:08	127.0.0.1	krzysztof-hp		55
17:49:18	127.0.0.1	krzysztof-hp		55
17:49:28	127.0.0.1	krzysztof-hp		55
17:49:38	127.0.0.1	krzysztof-hp		55
17:49:48	127.0.0.1	krzysztof-hp		56
17:49:58	127.0.0.1	krzysztof-hp		56
17:50:08	127.0.0.1	krzysztof-hp		56
17:50:18	127.0.0.1	krzysztof-hp		56
17:50:28	127.0.0.1	krzysztof-hp		57
17:50:38	127.0.0.1	krzysztof-hp		57
17:50:48	127.0.0.1	krzysztof-hp		57
17:50:58	127.0.0.1	krzysztof-hp		57
17:51:08	127.0.0.1	krzysztof-hp		57
17:51:18	127.0.0.1	krzysztof-hp		58
17:51:28	127.0.0.1	krzysztof-hp		58
17:51:38	127.0.0.1	krzysztof-hp		58
17:51:48	127.0.0.1	krzysztof-hp		58
17:51:58	127.0.0.1	krzysztof-hp		59
17:52:08	127.0.0.1	krzysztof-hp		59
17:52:18	127.0.0.1	krzysztof-hp		59
17:52:28	127.0.0.1	krzysztof-hp		59
17:52:38	127.0.0.1	krzysztof-hp		59
17:52:48	127.0.0.1	krzysztof-hp		60
17:52:58	127.0.0.1	krzysztof-hp		60
17:53:08	127.0.0.1	krzysztof-hp		60
17:53:18	127.0.0.1	krzysztof-hp		60
17:53:28	127.0.0.1	krzysztof-hp		61
17:53:38	127.0.0.1	krzysztof-hp		61
17:53:48	127.0.0.1	krzysztof-hp		61
17:53:58	127.0.0.1	krzysztof-hp		61
17:54:08	127.0.0.1	krzysztof-hp		61
17:54:18	127.0.0.1	krzysztof-hp		61
17:54:28	127.0.0.1	krzysztof-hp		61
17:54:38	127.0.0.1	krzysztof-hp		61
17:54:48	127.0.0.1	krzysztof-hp		61
17:54:58	127.0.0.1	krzysztof-hp		62
17:55:08	127.0.0.1	krzysztof-hp		62
17:55:18	127.0.0.1	krzysztof-hp		62
17:55:28	127.0.0.1	krzysztof-hp		62
17:55:38	127.0.0.1	krzysztof-hp		62
17:55:48	127.0.0.1	krzysztof-hp		63
17:55:58	127.0.0.1	krzysztof-hp		63
17:56:08	127.0.0.1	krzysztof-hp		63
17:56:18	127.0.0.1	krzysztof-hp		63
17:56:28	127.0.0.1	krzysztof-hp		63
17:56:38	127.0.0.1	krzysztof-hp		64
17:56:48	127.0.0.1	krzysztof-hp		64
17:56:58	127.0.0.1	krzysztof-hp		64
17:57:08	127.0.0.1	krzysztof-hp		64
17:57:18	127.0.0.1	krzysztof-hp		65
17:57:28	127.0.0.1	krzysztof-hp		65
17:57:38	127.0.0.1	krzysztof-hp		65
17:57:48	127.0.0.1	krzysztof-hp		65
17:57:58	127.0.0.1	krzysztof-hp		65
17:58:08	127.0.0.1	krzysztof-hp		66
17:58:18	127.0.0.1	krzysztof-hp		66
17:58:28	127.0.0.1	krzysztof-hp		66
17:58:38	127.0.0.1	krzysztof-hp		66
17:58:48	127.0.0.1	krzysztof-hp		66
17:58:58	127.0.0.1	krzysztof-hp		67
17:59:08	127.0.0.1	krzysztof-hp		67
17:59:18	127.0.0.1	krzysztof-hp		67
17:59:28	127.0.0.1	krzysztof-hp		67
17:59:38	127.0.0.1	krzysztof-hp		67
17:59:48	127.0.0.1	krzysztof-hp		68
17:59:58	127.0.0.1	krzysztof-hp		68
18:00:08	127.0.0.1	krzysztof-hp		68
18:00:18	127.0.0.1	krzysztof-hp		68
18:00:28	127.0.0.1	krzysztof-hp		69
18:00:38	127.0.0.1	krzysztof-hp		69
18:00:48	127.0.0.1	krzysztof-hp		69
18:00:58	127.0.0.1	krzysztof-hp		69
18:01:08	127.0.0.1	krzysztof-hp		69
18:01:18	127.0.0.1	krzysztof-hp		69
18:01:28	127.0.0.1	krzysztof-hp		69
18:01:38	127.0.0.1	krzysztof-hp		69
18:01:48	127.0.0.1	krzysztof-hp		69
18:01:58	127.0.0.1	krzysztof-hp		69
18:02:08	127.0.0.1	krzysztof-hp		70
18:02:18	127.0.0.1	krzysztof-hp		70
18:02:28	127.0.0.1	krzysztof-hp		70
18:02:38	127.0.0.1	krzysztof-hp		70
18:02:48	127.0.0.1	krzysztof-hp		71
18:02:58	127.0.0.1	krzysztof-hp		71
18:03:08	127.0.0.1	krzysztof-hp		71
18:03:18	127.0.0.1	krzysztof-hp		71
18:03:28	127.0.0.1	krzysztof-hp		71
18:03:38	127.0.0.1	krzysztof-hp		72
18:03:48	127.0.0.1	krzysztof-hp		72
18:03:58	127.0.0.1	krzysztof-hp		72
18:04:08	127.0.0.1	krzysztof-hp		72
18:04:18	127.0.0.1	krzysztof-hp		72
18:04:28	127.0.0.1	krzysztof-hp		73
18:04:38	127.0.0.1	krzysztof-hp		73
18:04:48	127.0.0.1	krzysztof-hp		73
18:04:58	127.0.0.1	krzysztof-hp		73
18:05:08	127.0.0.1	krzysztof-hp		74
18:05:18	127.0.0.1	krzysztof-hp		74
18:05:28	127.0.0.1	krzysztof-hp		74
18:05:38	127.0.0.1	krzysztof-hp		74
18:05:48	127.0.0.1	krzysztof-hp		74
18:05:58	127.0.0.1	krzysztof-hp		75
18:06:08	127.0.0.1	krzysztof-hp		75
18:06:18	127.0.0.1	krzysztof-hp		75
18:06:28	127.0.0.1	krzysztof-hp		75
18:06:38	127.0.0.1	krzysztof-hp		75
18:06:48	127.0.0.1	krzysztof-hp		76
18:06:58	127.0.0.1	krzysztof-hp		76
18:07:08	127.0.0.1	krzysztof-hp		76
18:07:18	127.0.0.1	krzysztof-hp		76
18:07:28	127.0.0.1	krzysztof-hp		76
18:07:38	127.0.0.1	krzysztof-hp		76
18:07:48	127.0.0.1	krzysztof-hp		76
18:07:58	127.0.0.1	krzysztof-hp		76
18:08:08	127.0.0.1	krzysztof-hp		76
18:08:18	127.0.0.1	krzysztof-hp		76
18:08:28	127.0.0.1	krzysztof-hp		77
18:08:38	127.0.0.1	krzysztof-hp		77
18:08:48	127.0.0.1	krzysztof-hp		77
18:08:58	127.0.0.1	krzysztof-hp		77
18:09:08	127.0.0.1	krzysztof-hp		78
18:09:18	127.0.0.1	krzysztof-hp		78
18:09:28	127.0.0.1	krzysztof-hp		78
18:09:38	127.0.0.1	krzysztof-hp		78
18:09:48	127.0.0.1	krzysztof-hp		78
18:09:58	127.0.0.1	krzysztof-hp		79
18:10:08	127.0.0.1	krzysztof-hp		79
18:10:18	127.0.0.1	krzysztof-hp		79
18:10:28	127.0.0.1	krzysztof-hp		79
18:10:38	127.0.0.1	krzysztof-hp		79
18:10:48	127.0.0.1	krzysztof-hp		79
18:10:58	127.0.0.1	krzysztof-hp		80
18:11:08	127.0.0.1	krzysztof-hp		80
18:11:18	127.0.0.1	krzysztof-hp		80
18:11:28	127.0.0.1	krzysztof-hp		80
18:11:38	127.0.0.1	krzysztof-hp		80
18:11:48	127.0.0.1	krzysztof-hp		81
18:11:58	127.0.0.1	krzysztof-hp		81
18:12:08	127.0.0.1	krzysztof-hp		81
18:12:18	127.0.0.1	krzysztof-hp		81
18:12:28	127.0.0.1	krzysztof-hp		81
18:12:38	127.0.0.1	krzysztof-hp		81
18:12:48	127.0.0.1	krzysztof-hp		82
18:12:58	127.0.0.1	krzysztof-hp		82
18:13:08	127.0.0.1	krzysztof-hp		82
18:13:18	127.0.0.1	krzysztof-hp		82
18:13:28	127.0.0.1	krzysztof-hp		82
18:13:38	127.0.0.1	krzysztof-hp		82
18:13:48	127.0.0.1	krzysztof-hp		83
18:13:58	127.0.0.1	krzysztof-hp		83
18:14:08	127.0.0.1	krzysztof-hp		83
18:14:18	127.0.0.1	krzysztof-hp		83
18:14:28	127.0.0.1	krzysztof-hp		83
18:14:38	127.0.0.1	krzysztof-hp		83
18:14:48	127.0.0.1	krzysztof-hp		84
18:14:58	127.0.0.1	krzysztof-hp		84
18:15:08	127.0.0.1	krzysztof-hp		84
18:15:18	127.0.0.1	krzysztof-hp		84
18:15:28	127.0.0.1	krzysztof-hp		84
18:15:38	127.0.0.1	krzysztof-hp		84
18:15:48	127.0.0.1	krzysztof-hp		84
18:15:58	127.0.0.1	krzysztof-hp		84
18:16:08	127.0.0.1	krzysztof-hp		84
18:16:18	127.0.0.1	krzysztof-hp		84
18:16:28	127.0.0.1	krzysztof-hp		84
18:16:38	127.0.0.1	krzysztof-hp		84
18:16:48	127.0.0.1	krzysztof-hp		84
18:16:58	127.0.0.1	krzysztof-hp		84
18:17:08	127.0.0.1	krzysztof-hp		85
18:17:18	127.0.0.1	krzysztof-hp		85
18:17:28	127.0.0.1	krzysztof-hp		85
18:17:38	127.0.0.1	krzysztof-hp		85
18:17:48	127.0.0.1	krzysztof-hp		85
18:17:58	127.0.0.1	krzysztof-hp		85
18:18:08	127.0.0.1	krzysztof-hp		85
18:18:18	127.0.0.1	krzysztof-hp		85
18:18:28	127.0.0.1	krzysztof-hp		86
18:18:38	127.0.0.1	krzysztof-hp		86
18:18:48	127.0.0.1	krzysztof-hp		86
18:18:58	127.0.0.1	krzysztof-hp		86
18:19:08	127.0.0.1	krzysztof-hp		86
18:19:18	127.0.0.1	krzysztof-hp		86
18:19:28	127.0.0.1	krzysztof-hp		86
18:19:38	127.0.0.1	krzysztof-hp		86
18:19:48	127.0.0.1	krzysztof-hp		87
18:19:58	127.0.0.1	krzysztof-hp		87
18:20:08	127.0.0.1	krzysztof-hp		87
18:20:18	127.0.0.1	krzysztof-hp		87
18:20:28	127.0.0.1	krzysztof-hp		87
18:20:38	127.0.0.1	krzysztof-hp		87
18:20:48	127.0.0.1	krzysztof-hp		87
18:20:58	127.0.0.1	krzysztof-hp		87
18:21:08	127.0.0.1	krzysztof-hp		87
18:21:18	127.0.0.1	krzysztof-hp		88
18:21:28	127.0.0.1	krzysztof-hp		88
18:21:38	127.0.0.1	krzysztof-hp		88
18:21:48	127.0.0.1	krzysztof-hp		88
18:21:58	127.0.0.1	krzysztof-hp		88
18:22:08	127.0.0.1	krzysztof-hp		88
18:22:18	127.0.0.1	krzysztof-hp		88
18:22:28	127.0.0.1	krzysztof-hp		88
18:22:38	127.0.0.1	krzysztof-hp		88
18:22:48	127.0.0.1	krzysztof-hp		89
18:22:58	127.0.0.1	krzysztof-hp		89
18:23:08	127.0.0.1	krzysztof-hp		89
18:23:18	127.0.0.1	krzysztof-hp		89
18:23:28	127.0.0.1	krzysztof-hp		89
18:23:38	127.0.0.1	krzysztof-hp		89
18:23:48	127.0.0.1	krzysztof-hp		89
18:23:58	127.0.0.1	krzysztof-hp		89
18:24:08	127.0.0.1	krzysztof-hp		89
18:24:18	127.0.0.1	krzysztof-hp		89
